Time [s],Spectral Flux
0.002250000000000002,0.2966543162687431
0.08374999999999998,0.2966543162687431
0.16525,0.3395820748257517
0.24675000000000002,0.3426265496815076
0.32825000000000004,0.29739734513203997
0.40975000000000006,0.2764098543014105
0.49125,3.8073515078658837
0.5727499999999999,0.10842223631768273
0.6542499999999999,0.3672297259653037
0.7357499999999999,0.34414923804710407
0.8172499999999999,0.25547082738155896
0.8987499999999999,0.3655040951659221
0.9802499999999998,1.172279457147117
1.06175,0.7480850930741229
1.1432499999999999,0.2786884319212207
1.22475,0.3219080388972909
1.30625,0.30424013923681203
1.3877499999999998,0.3012544189421782
1.46925,0.5818691599518193
1.5507499999999999,0.39537615641915724
1.63225,0.2933961866819611
1.7137499999999999,0.37122466409405575
1.79525,0.3107000847970097
1.87675,0.2738198744536463
1.95825,0.29330628392173713
2.0397499999999997,0.3374178649013453
2.12125,0.3064182372286435
2.20275,0.3107766528189065
2.28425,0.3190325150249931
2.36575,0.29334991489946766
2.44725,0.2628679578022995
2.52875,0.3362109680974892
2.6102499999999997,0.3858603826020953
2.69175,0.2766196252700722
2.77325,0.32758437861601486
2.85475,0.3929831708280872
2.93625,0.29605280384777155
3.01775,0.29987417000467864
3.09925,0.3468447167826052
3.1807499999999997,0.2681203044302565
3.26225,0.29557739632098845
3.34375,0.3106745266068881
3.42525,0.37710238789772205
3.50675,0.3656982130139601
3.58825,0.3006141628733783
3.66975,0.3027802426617855
3.7512499999999998,0.2867966535822061
3.83275,0.3505567178112887
3.91425,0.3496762917733185
